City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,mugia,43.1041,-9.2179,292.68,96,74,11.06,ES,1699818752
338,carnarvon,-24.8667,113.6333,293.61,84,19,2.99,AU,1699818752
339,carloforte,39.145,8.3058,292.65,72,25,9.41,IT,1699818753
340,san luis de la loma,17.2706,-100.8939,303.71,66,51,2.99,MX,1699818753
341,amlapura,-8.45,115.6167,298.3,89,30,2.31,ID,1699818753
342,carhaix-plouguer,48.2759,-3.5733,285.24,98,100,3.12,FR,1699818753
343,hammerfest,70.6634,23.6821,267.4,73,0,2.06,NO,1699818605
344,crane,31.3974,-102.3501,288.81,66,100,4.88,US,1699818754
345,gulf shores,30.246,-87.7008,295.18,84,100,2.57,US,1699818754
346,millerovo,48.9226,40.3967,283.13,67,35,8.97,RU,1699818755
347,flin flon,54.7682,-101.865,273.06,100,100,2.06,CA,1699818755
348,port saint john's,-31.6229,29.5448,291.65,68,74,4.75,ZA,1699818755
349,haiku-pauwela,20.9219,-156.3051,299.91,63,20,10.8,US,1699818756
350,umm kaddadah,13.6017,26.6876,304.04,26,97,3.42,SD,1699818756
351,tura,25.5198,90.2201,291.32,86,0,1.83,IN,1699818420
352,nuku'alofa,-21.1333,-175.2,294.34,94,100,4.63,TO,1699818757
353,aripuana,-9.1667,-60.6333,308.35,39,78,1.16,BR,1699818758
354,hirara,24.8,125.2833,295.07,88,75,8.75,JP,1699818758
355,chui,-33.6971,-53.4616,289.79,83,100,0.75,UY,1699818758
356,makoua,0.0069,15.6333,295.86,99,100,1.29,CG,1699818686
357,linevo,54.4589,83.3764,275.47,96,100,5.31,RU,1699818759
358,bovril,-31.3431,-59.4451,295.88,95,100,4.0,AR,1699818759
359,san antonio de pale,-1.4014,5.6325,299.56,84,100,5.47,GQ,1699818760
360,cockburn town,21.4612,-71.1419,301.39,77,0,8.46,TC,1699818760
361,alice springs,-23.7,133.8833,295.9,68,59,3.6,AU,1699818760
362,waltham,42.3765,-71.2356,280.14,54,20,4.63,US,1699818760
363,romankivtsi,48.4847,27.2138,279.48,72,100,5.86,UA,1699818761
